(30, 14)
(30, 14)
(30, 13)
(30, 13)
(30, 12)
(30, 12)
(30, 11)
(30, 11)
(30, 10)
(30, 10)
(30, 9)
(30, 9)
(30, 8)
(30, 8)
(30, 7)
(30, 7)
(30, 6)
(30, 6)
(30, 5)
(30, 5)
(30, 4)
(30, 4)
(30, 3)
(30, 3)
(30, 2)
(30, 2)
(30, 1)
(30, 1)
(29, 1)
(29, 1)
(28, 1)
(28, 1)
(28, 2)
(28, 2)
(28, 3)
(28, 3)
(28, 4)
(28, 4)
(28, 5)
(28, 5)
(27, 5)
(27, 5)
(27, 6)
(27, 6)
(27, 7)
(27, 7)
(28, 7)
(28, 7)
(27, 7)
(27, 7)
(27, 6)
(27, 6)
(27, 5)
(27, 5)
(26, 5)
(26, 5)
(25, 5)
(25, 5)
(25, 6)
(25, 6)
(24, 6)
(24, 6)
(24, 7)
(24, 7)
(24, 6)
(24, 6)
(23, 6)
(23, 6)
(24, 6)
(24, 6)
(24, 7)
(24, 7)
(24, 6)
(24, 6)
(25, 6)
(25, 6)
(25, 5)
(25, 5)
(25, 4)
(25, 4)
(25, 3)
(25, 3)
(25, 2)
(25, 2)
(24, 2)
(24, 2)
(23, 2)
(23, 2)
(22, 2)
(22, 2)
(21, 2)
(21, 2)
(20, 2)
(20, 2)
(19, 2)
(19, 2)
(19, 3)
(19, 3)
(19, 4)
(19, 4)
(19, 5)
(19, 5)
(19, 6)
(19, 6)
(19, 7)
(19, 7)
(18, 7)
(18, 7)
(17, 7)
(17, 7)
(17, 6)
(17, 6)
(17, 6)
(17, 6)
(30, 13)
(30, 13)
(30, 12)
(30, 12)
(30, 11)
(30, 11)
(30, 10)
(30, 10)
(30, 9)
(30, 9)
(30, 8)
(30, 8)
(30, 7)
(30, 7)
(30, 6)
(30, 6)
(30, 5)
(30, 5)
(30, 4)
(30, 4)
(30, 3)
(30, 3)
(30, 2)
(30, 2)
(30, 1)
(30, 1)
(29, 1)
(29, 1)
(28, 1)
(28, 1)
(28, 2)
(28, 2)
(28, 3)
(28, 3)
(28, 4)
(28, 4)
(28, 5)
(28, 5)
(27, 5)
(27, 5)
(26, 5)
(26, 5)
(25, 5)
(25, 5)
(25, 6)
(25, 6)
(24, 6)
(24, 6)
(24, 7)
(24, 7)
(24, 6)
(24, 6)
(23, 6)
(23, 6)
(24, 6)
(24, 6)
(25, 6)
(25, 6)
(25, 5)
(25, 5)
(26, 5)
(26, 5)
(27, 5)
(27, 5)
(28, 5)
(28, 5)
(28, 4)
(28, 4)
(28, 3)
(28, 3)
(28, 2)
(28, 2)
(28, 1)
(28, 1)
(29, 1)
(29, 1)
(30, 1)
(30, 1)
(30, 2)
(30, 2)
(30, 3)
(30, 3)
(30, 4)
(30, 4)
(30, 5)
(30, 5)
