[40, 41]
[39, 39]
[37, 37]
[35, 35]
[34, 33]
[33, 32]
[32, 32]
[31, 31]
[29, 30]
[30, 30]
[32, 32]
[34, 33]
[39, 36]
[39, 39]
[38, 39]
[37, 37]
[36, 35]
[35, 33]
[34, 34]
[30, 31]
[29, 32]
[28, 29]
[29, 32]
[29, 30]
[29, 30]
[27, 29]
[24, 26]
[24, 25]
[23, 25]
[20, 23]
[20, 22]
[19, 21]
[18, 20]
[15, 17]
[11, 16]
[8, 15]
[4, 14]
[4, 15]
[4, 16]
[4, 15]
[4, 15]
[4, 14]
[6, 15]
[8, 14]
[6, 13]
[8, 12]
[10, 10]
[10, 9]
[12, 6]
[11, 6]
[9, 9]
[7, 8]
[5, 11]
[6, 9]
[6, 9]
[8, 9]
[9, 8]
[11, 12]
[12, 12]
[14, 12]
[15, 12]
[16, 10]
[17, 10]
[16, 11]
[16, 12]
[15, 13]
[12, 13]
[10, 11]
[7, 10]
[7, 11]
[8, 13]
[6, 16]
[8, 17]
[9, 18]
[13, 14]
[12, 11]
[11, 10]
[13, 11]
[12, 10]
[11, 7]
[10, 5]
[9, 7]
[7, 5]
[7, 5]
[9, 5]
[10, 7]
[14, 5]
[14, 7]
[16, 7]
[19, 9]
[18, 8]
[16, 5]
[14, 7]
[15, 9]
[15, 11]
[14, 10]
[13, 9]
[14, 7]
[13, 8]
[12, 10]
[10, 11]
[11, 12]
[11, 14]
[10, 16]
[12, 18]
[13, 20]
[15, 23]
[16, 25]
[15, 25]
[14, 25]
[13, 24]
[13, 22]
[12, 20]
[11, 19]
[11, 18]
[10, 16]
[9, 15]
[9, 14]
[8, 13]
[9, 14]
[10, 5]
[9, 5]
[8, 5]
[8, 5]
[11, 3]
[11, 3]
[12, 5]
[11, 7]
[15, 5]
[17, 5]
[17, 5]
[17, 5]
[17, 5]
[17, 5]
[15, 5]
[21, 5]
[20, 7]
[20, 5]
[18, 5]
[17, 5]
[17, 5]
[17, 7]
[18, 7]
[19, 7]
[19, 6]
[18, 6]
[16, 7]
[15, 7]
[13, 5]
[14, 7]
[5, 5]
[6, 7]
[6, 5]
[7, 5]
[9, 5]
[10, 5]
[12, 6]
[13, 7]
[12, 5]
[11, 5]
[14, 5]
[14, 5]
[13, 5]
[12, 5]
[13, 5]
[12, 7]
[12, 7]
[12, 6]
[10, 6]
[9, 6]
[8, 5]
[7, 5]
[9, 5]
[9, 5]
[9, 5]
[19, 5]
[18, 5]
[16, 5]
[14, 7]
[13, 8]
[11, 8]
[10, 11]
[8, 9]
[7, 9]
[7, 10]
[8, 12]
[8, 13]
[8, 14]
[11, 15]
[12, 16]
[11, 17]
[13, 18]
[12, 17]
[13, 16]
[14, 15]
[9, 14]
[10, 15]
[11, 16]
[11, 14]
[10, 12]
[12, 9]
[13, 8]
[11, 7]
[11, 8]
[12, 5]
[11, 6]
[12, 8]
[12, 9]
[11, 10]
[9, 10]
[8, 9]
[7, 8]
[7, 8]
[9, 8]
[10, 5]
[11, 5]
[11, 7]
[11, 9]
[11, 11]
[11, 12]
[11, 10]
[11, 10]
[12, 9]
[12, 10]
[13, 11]
[14, 13]
[14, 13]
[13, 12]
[13, 10]
[11, 7]
[10, 6]
[9, 8]
[4, 8]
[4, 9]
[4, 8]
[4, 9]
[4, 5]
[4, 3]
[2, 1]
[32, 29]
[31, 30]
[30, 29]
[28, 29]
[27, 28]
[26, 27]
[25, 26]
[26, 25]
[24, 26]
[23, 26]
[23, 26]
[21, 29]
[21, 29]
[19, 28]
[17, 27]
[27, 27]
[28, 26]
[28, 26]
[28, 23]
[26, 23]
[25, 22]
[25, 21]
[26, 22]
[28, 21]
[31, 22]
[31, 18]
[32, 19]
[32, 18]
[31, 15]
[30, 16]
[27, 15]
[26, 14]
[25, 13]
[23, 12]
[22, 11]
[21, 11]
[19, 10]
[18, 10]
[15, 9]
[16, 10]
[16, 12]
[14, 13]
[17, 14]
[18, 14]
[18, 14]
[18, 15]
[14, 15]
[12, 16]
[10, 17]
[10, 17]
[10, 18]
[10, 17]
[7, 18]
[5, 17]
[3, 16]
[23, 14]
[22, 12]
[20, 12]
[18, 12]
[20, 12]
[21, 13]
